 Calculations that do not match the inspection results.
 _______________________________________________________________________________
  # cycles to | as previous, | failure # cycles/ | as previous, |detected cracks
    failure   | period after | applied # cycles  | period after |in subsequent
              |  last insp.  |                   |  last insp.  |inspections
    8.187E+07    1.293E+07         8.815E-01         5.402E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.728E+07    8.341E+06         8.321E-01         3.484E-01   1    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.701E+07    8.066E+06         8.291E-01         3.369E-01   3    1
    7.909E+07    1.015E+07         8.516E-01         4.241E-01   3    0
    9.140E+07    2.246E+07         9.841E-01         9.382E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.837E+07    1.943E+07         9.514E-01         8.115E-01   2    0
    7.820E+07    9.256E+06         8.419E-01         3.866E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.665E+07    1.771E+07         9.329E-01         7.398E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.277E+07    2.383E+07         9.988E-01         9.954E-01   0    1
    8.902E+07    2.007E+07         9.584E-01         8.385E-01   1    0
    8.252E+07    1.358E+07         8.885E-01         5.674E-01   1    0
    8.779E+07    1.885E+07         9.452E-01         7.873E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.895E+07    1.001E+07         8.501E-01         4.182E-01   0    1
    8.988E+07    2.094E+07         9.677E-01         8.748E-01   3    3
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.128E+07    1.234E+07         8.751E-01         5.156E-01   0    1
    8.478E+07    1.584E+07         9.128E-01         6.616E-01   0    1
    8.835E+07    1.941E+07         9.512E-01         8.106E-01   0    1
